time_s,distance_m,ax_mps2,ay_mps2,az_mps2,gx_radps,gy_radps,gz_radps,accel_mag,gyro_mag,jerk
0,0,-0.00272,0.03441,9.78447,-0.00389,0.00983,-0.00415,9.78454,0.01135,0
0.02,0.014,0.01671,0.03012,9.80525,-0.00001,0.00633,-0.00438,9.80531,0.0077,1.03879
0.04,0.028,0.04835,0.05328,9.81572,-0.00276,0.01572,-0.00154,9.81599,0.01603,0.53382
0.06,0.042,0.07615,0.03457,9.83432,0.00185,0.00495,0.00649,9.83468,0.00837,0.93462
0.08,0.056,0.09849,0.02364,9.80967,-0.00204,0.01151,0.00331,9.81019,0.01215,-1.22454
0.1,0.07,0.10451,0.05351,9.85455,0.00144,0.00884,0.00203,9.85525,0.00918,2.25311
0.12,0.084,0.10372,0.0376,9.82548,0.00285,0.01093,-0.00157,9.8261,0.01141,-1.45781
0.14,0.098,0.115,0.03279,9.82981,-0.00289,0.00111,0.00335,9.83054,0.00456,0.22214
0.16,0.112,0.09306,0.03028,9.83432,-0.00146,0.00866,0.00989,9.83481,0.01323,0.21351
0.18,0.126,0.10851,0.04249,9.84057,0.00207,0.00686,0.00365,9.84126,0.00804,0.32245
0.2,0.14,0.07335,0.0271,9.9125,0.00449,0.00915,0.00648,9.91281,0.01208,3.57774
0.22,0.154,0.0575,0.03653,9.82779,0.00196,0.00412,0.00377,9.82802,0.00592,-4.23938
0.24,0.168,0.05335,0.04561,9.84413,-0.00014,0.00072,0.00546,9.84438,0.00551,0.81772
0.26,0.182,0.057,0.0363,9.84776,0.00268,0.00731,0.00306,9.848,0.00836,0.18085
0.28,0.196,0.03183,0.04344,9.86122,0.00311,0.00914,0.00198,9.86137,0.00986,0.66858
0.3,0.21,0.04798,0.02124,9.84508,0.00663,0.00775,0.00755,9.84522,0.01269,-0.80719
0.32,0.224,0.03872,0.0166,9.87562,0.01114,0.00676,0.00893,9.87571,0.0158,1.52454
0.34,0.238,0.02208,0.04948,9.88589,0.00467,0.00416,0.01026,9.88604,0.01201,0.51633
0.36,0.252,0.02501,0.01247,9.89938,0.00288,0.011,0.00232,9.89942,0.0116,0.66905
0.38,0.266,0.03544,0.01792,9.88324,0.00576,0.0006,0.0027,9.88332,0.00639,-0.80499
0.4,0.28,0.01497,0.01501,9.8891,0.00686,0.00785,0.01085,9.88913,0.01504,0.29019
0.42,0.294,0.04934,0.0352,9.8904,0.00338,0.01024,0.01416,9.89058,0.0178,0.07292
0.44,0.308,0.03466,0.04767,9.84939,-0.00142,0.00697,0.01364,9.84957,0.01539,-2.05073
0.46,0.322,0.01718,0.03212,9.89304,0.00384,0.00836,0.01433,9.8931,0.01703,2.17672
0.48,0.336,0.04476,0.04693,9.86898,0.00561,0.00532,0.00828,9.86919,0.01133,-1.19565
0.5,0.35,-0.0103,0.00512,9.89016,0.00736,0.00733,0.01132,9.89017,0.01536,1.04898
0.52,0.364,-0.00403,0.04468,9.9011,0.00782,0.0074,0.00336,9.9012,0.01128,0.55168
0.54,0.378,-0.00356,0.00656,9.84807,0.00696,-0.00054,0.00456,9.84807,0.00833,-2.65662
0.56,0.392,-0.01151,0.03472,9.85633,0.00692,0.00734,0.01911,9.8564,0.02161,0.41638
0.58,0.406,-0.04707,0.00922,9.86752,0.00984,0.00535,0.01531,9.86764,0.01897,0.56192
0.6,0.42,-0.01513,0.03403,9.88099,0.0034,0.00442,0.01204,9.88106,0.01327,0.67107
0.62,0.434,-0.03539,0.01669,9.85288,0.00642,0.00379,0.02282,9.85296,0.024,-1.4049
0.64,0.448,-0.03067,0.01313,9.85025,0.0071,0.00456,0.0102,9.85031,0.01323,-0.13261
0.66,0.462,0.0033,-0.00079,9.84905,0.00377,0.00255,0.01351,9.84905,0.01426,-0.06292
0.68,0.476,0.01425,-0.00511,9.86498,0.01075,0.00739,0.01266,9.86499,0.01818,0.79718
0.7,0.49,0.01205,0.00668,9.87866,0.00893,-0.00095,0.01692,9.87867,0.01915,0.68383
0.72,0.504,0.04687,0.01681,9.86529,0.00576,0.00321,0.01892,9.86542,0.02004,-0.6628
0.74,0.518,0.09763,0.00196,9.86007,0.0088,0.00139,0.01479,9.86055,0.01727,-0.24326
0.76,0.532,0.09937,0.01485,9.87707,0.0032,0.00517,0.01061,9.87758,0.01223,0.85132
0.78,0.546,0.12983,0.00941,9.85217,0.00729,-0.00341,0.01501,9.85303,0.01704,-1.2272
0.8,0.56,0.13326,0.01813,9.82958,0.0049,0.0047,0.02078,9.8305,0.02186,-1.12679
0.82,0.574,0.15184,0.00791,9.83907,0.01017,-0.00128,0.01602,9.84025,0.01902,0.48766
0.84,0.588,0.14427,-0.02314,9.84558,0.00258,0.00107,0.02085,9.84667,0.02103,0.32089
0.86,0.602,0.15333,-0.02499,9.80379,0.01163,-0.00312,0.02147,9.80503,0.02461,-2.08212
0.88,0.616,0.136,-0.00503,9.861,0.00612,-0.00664,0.01209,9.86194,0.01509,2.84569
0.9,0.63,0.146,-0.01854,9.83314,0.00407,0.00329,0.0184,9.83424,0.01913,-1.38481
0.92,0.644,0.12669,-0.00274,9.84018,0.01307,0.0018,0.01339,9.84099,0.01879,0.33744
0.94,0.658,0.07822,-0.00915,9.84435,0.00852,0.00177,0.01973,9.84467,0.02157,0.18369
0.96,0.672,0.05184,-0.00271,9.80988,0.00968,0.00249,0.01821,9.81002,0.02078,-1.73221
0.98,0.686,0.06032,0.00236,9.78701,0.00713,0.00087,0.01761,9.78719,0.01902,-1.14149
1,0.7,0.04086,-0.00233,9.84107,0.00833,0.00673,0.01893,9.84115,0.02174,2.698
1.02,0.714,0.00774,0.00512,9.81194,0.00735,-0.0019,0.01739,9.81195,0.01898,-1.46014
1.04,0.728,-0.02599,-0.03357,9.83154,0.0161,-0.00458,0.01176,9.83163,0.02046,0.98406
1.06,0.742,0.01983,-0.00352,9.83202,0.01225,-0.00256,0.02087,9.83204,0.02434,0.02065
1.08,0.756,-0.00601,-0.02802,9.79209,0.0134,-0.00509,0.0142,9.79214,0.02018,-1.99533
1.1,0.77,0.00515,-0.01648,9.77662,0.01369,-0.00454,0.01406,9.77664,0.02014,-0.77496
1.12,0.784,-0.01574,-0.01382,9.80729,0.01452,-0.00584,0.01363,9.80731,0.02075,1.53366
1.14,0.798,-0.01849,-0.01596,9.78907,0.01011,-0.00502,0.01054,9.7891,0.01544,-0.91052
1.16,0.812,-0.0161,-0.03063,9.79145,0.00307,-0.00602,0.0161,9.79151,0.01746,0.12076
1.18,0.826,-0.00153,-0.00462,9.77627,0.01308,-0.00066,0.00451,9.77627,0.01385,-0.76203
1.2,0.84,-0.03458,-0.0116,9.76039,0.00897,-0.00278,0.01204,9.76046,0.01527,-0.79065
1.22,0.854,-0.01077,-0.01183,9.77112,0.01181,-0.00462,0.01451,9.77113,0.01927,0.53368
1.24,0.868,-0.02528,-0.04982,9.77764,0.00625,0.00132,0.01261,9.7778,0.01414,0.33344
1.26,0.882,-0.03326,-0.0324,9.76959,0.01328,-0.002,0.02258,9.7697,0.02627,-0.40506
1.28,0.896,-0.05613,-0.04003,9.76614,0.013,-0.00949,0.00774,9.76639,0.01786,-0.16574
1.3,0.91,-0.05799,-0.01542,9.75296,0.01299,-0.00573,0.01204,9.75315,0.01862,-0.66193
1.32,0.924,-0.08438,-0.0402,9.80264,0.00787,-0.00948,0.01676,9.80308,0.0208,2.4968
1.34,0.938,-0.0479,-0.02176,9.76515,0.01406,-0.00529,0.01175,9.76529,0.01907,-1.88988
1.36,0.952,-0.03655,-0.01598,9.74366,0.00753,-0.00985,0.00242,9.74374,0.01263,-1.07718
1.38,0.966,-0.03649,-0.03427,9.77072,0.00664,-0.00598,0.00526,9.77085,0.01037,1.35536
1.4,0.98,-0.02143,-0.03536,9.77202,0.01199,-0.00802,0.01266,9.7721,0.01919,0.06267
1.42,0.994,-0.03929,-0.05261,9.77476,0.00611,-0.00841,0.00995,9.77499,0.01439,0.14406
1.44,1.008,-0.02632,-0.03387,9.73343,0.00732,-0.00793,0.00991,9.73352,0.01465,-2.07307
1.46,1.022,-0.00355,-0.01866,9.77714,0.00861,-0.00777,0.00785,9.77716,0.014,2.18183
1.48,1.036,0.07205,-0.04059,9.77011,0.00446,-0.0112,0.00293,9.77046,0.01241,-0.33516
1.5,1.05,0.0494,-0.03619,9.70003,0.00766,-0.00986,0.0085,9.70022,0.0151,-3.51166
1.52,1.064,0.0835,-0.02185,9.71554,0.01535,-0.01133,0.00285,9.71593,0.01929,0.78515
1.54,1.078,0.07169,-0.02609,9.75519,0.00616,-0.01133,-0.00263,9.75549,0.01316,1.97813
1.56,1.092,0.0935,-0.0296,9.7709,0.00678,-0.00569,-0.00266,9.77139,0.00925,0.79525
1.58,1.106,0.07992,-0.04378,9.77508,0.01264,-0.00751,-0.00133,9.7755,0.01476,0.20529
1.6,1.12,0.04366,-0.03003,9.76267,0.00806,0.00174,0.00057,9.76281,0.00826,-0.63453
1.62,1.134,0.04807,-0.02555,9.76212,0.01209,-0.00666,0.00403,9.76227,0.01438,-0.0268
1.64,1.148,0.02311,-0.05979,9.71029,0.01329,-0.00375,0.00375,9.71051,0.01431,-2.58838
1.66,1.162,0.02675,-0.03964,9.75935,0.01236,-0.00733,0.00781,9.75947,0.01635,2.44799
1.68,1.176,-0.0054,-0.03988,9.74871,0.01177,-0.00911,-0.00269,9.7488,0.01513,-0.53348
1.7,1.19,-0.02479,-0.05421,9.74248,0.00722,-0.00669,-0.00202,9.74266,0.01005,-0.30674
1.72,1.204,-0.05115,-0.06645,9.76551,0.00863,-0.00704,0.0017,9.76587,0.01126,1.16059
1.74,1.218,-0.05322,-0.0558,9.73768,0.00929,-0.01402,-0.00317,9.73798,0.01712,-1.39457
1.76,1.232,-0.09874,-0.03748,9.77859,0.01278,-0.00527,-0.00021,9.77916,0.01382,2.05879
1.78,1.246,-0.08007,-0.0302,9.74811,0.00374,-0.01191,-0.00687,9.74849,0.01425,-1.53339
1.8,1.26,-0.09222,-0.02853,9.7932,0.00898,-0.01039,-0.00049,9.79368,0.01374,2.25936
1.82,1.274,-0.06536,-0.02996,9.78055,0.00657,-0.00573,-0.00897,9.78082,0.0125,-0.6431
1.84,1.288,-0.10773,-0.05633,9.78593,0.00757,-0.00485,-0.01033,9.78668,0.01369,0.29336
1.86,1.302,-0.11272,-0.08196,9.78195,0.00781,-0.00785,0.00037,9.78294,0.01108,-0.1869
1.88,1.316,-0.11021,-0.0485,9.75567,0.00655,-0.00647,-0.00453,9.75642,0.01026,-1.32636
1.9,1.33,-0.09194,-0.02238,9.76885,0.00663,-0.0103,-0.00211,9.76931,0.01243,0.64462
1.92,1.344,-0.07714,-0.03166,9.81834,0.00689,-0.00676,-0.00351,9.8187,0.01027,2.46928
1.94,1.358,-0.08741,-0.02244,9.8135,0.00307,-0.00359,-0.00699,9.81391,0.00844,-0.23916
1.96,1.372,-0.06659,-0.04127,9.79249,0.00875,-0.01026,0.00022,9.79281,0.01349,-1.05525
1.98,1.386,-0.08748,-0.02726,9.77017,0.01073,-0.00774,-0.00872,9.7706,0.01584,-1.1106
2,1.4,-0.08518,-0.03942,9.80391,0.00986,-0.01019,-0.00804,9.80436,0.0163,1.68843
2.02,1.414,-0.09233,-0.04509,9.77656,0.00353,-0.00739,-0.01788,9.7771,0.01967,-1.36326
2.04,1.428,-0.07647,-0.02439,9.80103,0.00446,-0.00813,-0.00836,9.80136,0.01249,1.21324
2.06,1.442,-0.11021,-0.00722,9.81081,0.00682,-0.00777,-0.00991,9.81143,0.01432,0.5033
2.08,1.456,-0.08319,-0.04219,9.78371,0.00226,-0.01421,-0.01017,9.78416,0.01762,-1.36353
2.1,1.47,-0.08701,-0.03305,9.81771,0.00623,-0.00969,-0.01362,9.81815,0.01784,1.69966
2.12,1.484,-0.07666,-0.03478,9.81422,0.01113,-0.00992,-0.01637,9.81458,0.02214,-0.17864
2.14,1.498,-0.05846,-0.01934,9.82279,0.00596,-0.00625,-0.01463,9.82298,0.01699,0.42005
2.16,1.512,-0.03228,-0.02408,9.82645,0.00723,-0.00488,-0.0171,9.82653,0.0192,0.17761
2.18,1.526,-0.04846,-0.04009,9.83132,0.00718,-0.00757,-0.01753,9.83152,0.0204,0.24937
